"key", "en", "zh-s"
"start", "Start", "开始"
"dialogue_1", "Bateman and Luis Carruthers are seated at a long table in the conference room at Pierce & Pierce, which looks out onto a spectacular view of Manhattan.", "Bateman和Luis Carruthers坐在Pierce & Pierce会议室的长桌旁，可以看到曼哈顿的壮丽景色。"
"dialogue_2", "CARRUTHERS: Patrick, thanks so much for looking after Courtney.", "CARRUTHERS: Patrick, 谢谢你照顾Courtney。"
"dialogue_3", "Dorsia, how impressive! How on earth did you get a reservation there?", "Dorsia, 多么令人印象深刻！你是怎么在那里订到的？"
"dialogue_4", "BATEMAN: Lucky, I guess.", "BATEMAN: 我猜我运气好。"
"dialogue_5", "CARRUTHERS: That's a wonderful suit. Don't tell me, don't tell me. Let me guess. Valentino Couture.", "CARRUTHERS: 这套西装真棒。别告诉我，别告诉我。让我猜猜。华伦天奴。"
"dialogue_6", "BATEMAN: Uh huh.", "BATEMAN: 嗯。"
"dialogue_7", "CARRUTHERS: It looks so soft.", "CARRUTHERS: 看起来很柔软。"
"dialogue_8", "BATEMAN (Catching Luis hand): Your compliment was sufficient Luis.", "BATEMAN (抓住Luis的手): 你的赞美已经足够了，Luis。"
"dialogue_9", "ALLEN: Hello, Halberstam. Nice tie. How the hell are you?", "ALLEN: 你好，Halberstam。领带很漂亮。你怎么了？"
"dialogue_10", "BATEMAN: I've been great. And you?", "BATEMAN: 我很好。你呢？"
"dialogue_11", "BATEMAN (V.O.): Allen has mistaken me for this dickhead Marcus Halberstam.", "BATEMAN (V.O.): Allen把我误认为这个混蛋Marcus Halberstam。"
"dialogue_12", "It seems logical because Marcus also works at P&P and in fact does the same exact thing I do and he also has a penchant for Valentino suits and Oliver Peoples glasses.", "这似乎是合理的，因为Marcus也在P&P工作，事实上他和我做的事情一模一样，他也喜欢华伦天奴的西装和Oliver Peoples的眼镜。"
"dialogue_13", "Marcus and I even go to the same barber, although I have a slightly better haircut.", "Marcus和我甚至去同一家理发店，尽管我有一个稍微更好的发型。"
"dialogue_14", "ALLEN: How's the Ransom account going, Marcus?", "ALLEN: Ransom账户怎么样了，Marcus？"
"dialogue_15", "BATEMAN: It's...it's...", "BATEMAN: 它...它..."
"dialogue_16", "BATEMAN (nervous): All right.", "BATEMAN (紧张): 还好。"
"dialogue_17", "ALLEN: Really? That's interesting.", "ALLEN: 真的吗？那很有趣。"
"dialogue_18", "ALLEN: Not great?", "ALLEN: 不太好？"
"dialogue_19", "BATEMAN: Oh well, you know.", "BATEMAN: 哦，你知道的。"
"dialogue_20", "Allen: And how's Cecilia? She's a great girl.", "OWEN: Cecilia怎么样？她是个好女孩。"
"dialogue_21", "BATEMAN: Oh yes. I'm very lucky.", "BATEMAN: 是的。我很幸运。"
"dialogue_22", "McDERMOTT: Hey. Allen! Congratulations on the Fisher account.", "McDERMOTT: 嘿。Allen！恭喜你得到Fisher账户。"
